actual_start_ts,actual_end_ts,actual_start_epoch_ms,actual_end_epoch_ms,flow_type,event_id,traffic_profile,flow_proto,seed,planned_start_s,planned_end_s,port,duration_s,parallel,target_bitrate_mbps,rc,throughput_mbps,jitter_ms,lost_percent,retransmits,start_mode,start_active_policy,start_policy_id,start_candidate_path_id,start_policy_seq,start_decision_id,start_cooldown_active,start_elephant_path_hint,start_topk_rank,start_ingress_node,start_controller_epoch_s,end_mode,end_active_policy,end_policy_id,end_candidate_path_id,end_policy_seq,end_decision_id,end_cooldown_active,end_elephant_path_hint,end_topk_rank,end_ingress_node,end_controller_epoch_s,raw_json_path,start_state_snapshot,end_state_snapshot
2026-04-05T14:51:41.919,2026-04-05T14:51:44.142,1775371901922,1775371904144,mice,mice_20,medium,tcp,42,27,29,5203,2,1,20,0,20.431,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_20.json,data/state_snapshots_20260405_145112/mice_20_start.json,data/state_snapshots_20260405_145112/mice_20_end.json
2026-04-05T14:51:44.936,2026-04-05T14:51:47.079,1775371904938,1775371907081,mice,mice_21,medium,tcp,42,30,32,5202,2,1,20,0,20.433,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_21.json,data/state_snapshots_20260405_145112/mice_21_start.json,data/state_snapshots_20260405_145112/mice_21_end.json
2026-04-05T14:51:46.948,2026-04-05T14:51:48.086,1775371906950,1775371908087,mice,mice_22,medium,tcp,42,32,33,5203,1,1,20,0,20.933,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_22.json,data/state_snapshots_20260405_145112/mice_22_start.json,data/state_snapshots_20260405_145112/mice_22_end.json
2026-04-05T14:51:48.960,2026-04-05T14:51:50.107,1775371908962,1775371910108,mice,mice_24,medium,tcp,42,34,35,5203,1,1,20,0,20.943,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_24.json,data/state_snapshots_20260405_145112/mice_24_start.json,data/state_snapshots_20260405_145112/mice_24_end.json
2026-04-05T14:51:47.954,2026-04-05T14:51:50.117,1775371907956,1775371910119,mice,mice_23,medium,tcp,42,33,35,5202,2,1,20,0,20.433,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_23.json,data/state_snapshots_20260405_145112/mice_23_start.json,data/state_snapshots_20260405_145112/mice_23_end.json
2026-04-05T14:51:50.972,2026-04-05T14:51:53.092,1775371910974,1775371913093,mice,mice_25,medium,tcp,42,36,38,5202,2,1,20,0,20.433,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_25.json,data/state_snapshots_20260405_145112/mice_25_start.json,data/state_snapshots_20260405_145112/mice_25_end.json
2026-04-05T14:51:53.991,2026-04-05T14:51:55.155,1775371913992,1775371915156,mice,mice_27,medium,tcp,42,39,40,5202,1,1,20,0,20.952,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_27.json,data/state_snapshots_20260405_145112/mice_27_start.json,data/state_snapshots_20260405_145112/mice_27_end.json
2026-04-05T14:51:52.984,2026-04-05T14:51:56.120,1775371912986,1775371916121,mice,mice_26,medium,tcp,42,38,41,5203,3,1,20,0,20.264,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_26.json,data/state_snapshots_20260405_145112/mice_26_start.json,data/state_snapshots_20260405_145112/mice_26_end.json
2026-04-05T14:51:56.003,2026-04-05T14:51:59.150,1775371916005,1775371919151,mice,mice_28,medium,tcp,42,42,45,5202,3,1,20,0,20.262,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_28.json,data/state_snapshots_20260405_145112/mice_28_start.json,data/state_snapshots_20260405_145112/mice_28_end.json
2026-04-05T14:51:58.015,2026-04-05T14:51:59.170,1775371918017,1775371919171,mice,mice_29,medium,tcp,42,44,45,5203,1,1,20,0,20.941,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_29.json,data/state_snapshots_20260405_145112/mice_29_start.json,data/state_snapshots_20260405_145112/mice_29_end.json
2026-04-05T14:51:59.022,2026-04-05T14:52:01.177,1775371919023,1775371921179,mice,mice_30,medium,tcp,42,45,47,5204,2,1,20,0,20.433,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_30.json,data/state_snapshots_20260405_145112/mice_30_start.json,data/state_snapshots_20260405_145112/mice_30_end.json
2026-04-05T14:52:02.040,2026-04-05T14:52:03.222,1775371922042,1775371923223,mice,mice_31,medium,tcp,42,48,49,5202,1,1,20,0,20.943,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_31.json,data/state_snapshots_20260405_145112/mice_31_start.json,data/state_snapshots_20260405_145112/mice_31_end.json
2026-04-05T14:52:05.057,2026-04-05T14:52:06.220,1775371925059,1775371926222,mice,mice_32,medium,tcp,42,51,52,5202,1,1,20,0,20.942,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_32.json,data/state_snapshots_20260405_145112/mice_32_start.json,data/state_snapshots_20260405_145112/mice_32_end.json
2026-04-05T14:51:49.966,2026-04-05T14:52:08.103,1775371909968,1775371928105,elephant,elephant_1,medium,tcp,42,35,53,5201,18,3,300,0,900.118,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/elephant_1.json,data/state_snapshots_20260405_145112/elephant_1_start.json,data/state_snapshots_20260405_145112/elephant_1_end.json
2026-04-05T14:52:09.080,2026-04-05T14:52:11.282,1775371929082,1775371931287,mice,mice_33,medium,tcp,42,55,57,5202,2,1,20,0,20.437,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_33.json,data/state_snapshots_20260405_145112/mice_33_start.json,data/state_snapshots_20260405_145112/mice_33_end.json
2026-04-05T14:52:10.087,2026-04-05T14:52:11.278,1775371930089,1775371931282,mice,mice_34,medium,tcp,42,56,57,5203,1,1,20,0,20.924,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_34.json,data/state_snapshots_20260405_145112/mice_34_start.json,data/state_snapshots_20260405_145112/mice_34_end.json
2026-04-05T14:52:12.112,2026-04-05T14:52:15.256,1775371932114,1775371935258,mice,mice_35,medium,tcp,42,58,61,5202,3,1,20,0,20.263,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_35.json,data/state_snapshots_20260405_145112/mice_35_start.json,data/state_snapshots_20260405_145112/mice_35_end.json
2026-04-05T14:52:13.119,2026-04-05T14:52:15.296,1775371933121,1775371935298,mice,mice_36,medium,tcp,42,59,61,5203,2,1,20,0,20.439,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_36.json,data/state_snapshots_20260405_145112/mice_36_start.json,data/state_snapshots_20260405_145112/mice_36_end.json
2026-04-05T14:52:16.137,2026-04-05T14:52:18.278,1775371936139,1775371938280,mice,mice_37,medium,tcp,42,62,64,5202,2,1,20,0,20.436,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_37.json,data/state_snapshots_20260405_145112/mice_37_start.json,data/state_snapshots_20260405_145112/mice_37_end.json
2026-04-05T14:52:17.143,2026-04-05T14:52:19.312,1775371937145,1775371939313,mice,mice_38,medium,tcp,42,63,65,5203,2,1,20,0,20.431,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_38.json,data/state_snapshots_20260405_145112/mice_38_start.json,data/state_snapshots_20260405_145112/mice_38_end.json
2026-04-05T14:52:20.167,2026-04-05T14:52:21.285,1775371940168,1775371941287,mice,mice_41,medium,tcp,42,66,67,5203,1,1,20,0,20.954,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_41.json,data/state_snapshots_20260405_145112/mice_41_start.json,data/state_snapshots_20260405_145112/mice_41_end.json
2026-04-05T14:52:18.151,2026-04-05T14:52:21.340,1775371938154,1775371941342,mice,mice_39,medium,tcp,42,64,67,5204,3,1,20,0,20.263,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_39.json,data/state_snapshots_20260405_145112/mice_39_start.json,data/state_snapshots_20260405_145112/mice_39_end.json
2026-04-05T14:52:19.160,2026-04-05T14:52:22.322,1775371939161,1775371942323,mice,mice_40,medium,tcp,42,65,68,5202,3,1,20,0,20.263,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_40.json,data/state_snapshots_20260405_145112/mice_40_start.json,data/state_snapshots_20260405_145112/mice_40_end.json
2026-04-05T14:52:21.174,2026-04-05T14:52:24.318,1775371941176,1775371944320,mice,mice_42,medium,tcp,42,67,70,5205,3,1,20,0,20.263,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_42.json,data/state_snapshots_20260405_145112/mice_42_start.json,data/state_snapshots_20260405_145112/mice_42_end.json
2026-04-05T14:52:22.181,2026-04-05T14:52:25.316,1775371942182,1775371945318,mice,mice_43,medium,tcp,42,68,71,5203,3,1,20,0,20.263,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_43.json,data/state_snapshots_20260405_145112/mice_43_start.json,data/state_snapshots_20260405_145112/mice_43_end.json
2026-04-05T14:52:25.198,2026-04-05T14:52:26.344,1775371945200,1775371946346,mice,mice_44,medium,tcp,42,71,72,5202,1,1,20,0,20.942,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_44.json,data/state_snapshots_20260405_145112/mice_44_start.json,data/state_snapshots_20260405_145112/mice_44_end.json
2026-04-05T14:52:30.249,2026-04-05T14:52:31.450,1775371950252,1775371951452,mice,mice_45,medium,tcp,42,76,77,5202,1,1,20,0,20.937,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_45.json,data/state_snapshots_20260405_145112/mice_45_start.json,data/state_snapshots_20260405_145112/mice_45_end.json
2026-04-05T14:52:19.159,2026-04-05T14:52:37.324,1775371939161,1775371957326,elephant,elephant_2,medium,tcp,42,65,83,5201,18,3,300,0,899.984,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/elephant_2.json,data/state_snapshots_20260405_145112/elephant_2_start.json,data/state_snapshots_20260405_145112/elephant_2_end.json
2026-04-05T14:52:37.342,2026-04-05T14:52:39.513,1775371957344,1775371959515,mice,mice_46,medium,tcp,42,83,85,5202,2,1,20,0,20.422,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_46.json,data/state_snapshots_20260405_145112/mice_46_start.json,data/state_snapshots_20260405_145112/mice_46_end.json
2026-04-05T14:52:41.384,2026-04-05T14:52:43.744,1775371961392,1775371963747,mice,mice_47,medium,tcp,42,87,89,5202,2,1,20,0,20.438,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_47.json,data/state_snapshots_20260405_145112/mice_47_start.json,data/state_snapshots_20260405_145112/mice_47_end.json
2026-04-05T14:52:45.415,2026-04-05T14:52:46.576,1775371965416,1775371966578,mice,mice_48,medium,tcp,42,91,92,5202,1,1,20,0,20.943,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_48.json,data/state_snapshots_20260405_145112/mice_48_start.json,data/state_snapshots_20260405_145112/mice_48_end.json
2026-04-05T14:52:46.423,2026-04-05T14:52:49.599,1775371966426,1775371969600,mice,mice_49,medium,tcp,42,92,95,5203,3,1,20,0,20.262,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_49.json,data/state_snapshots_20260405_145112/mice_49_start.json,data/state_snapshots_20260405_145112/mice_49_end.json
2026-04-05T14:52:52.476,2026-04-05T14:52:55.980,1775371972481,1775371975987,mice,mice_50,medium,tcp,42,98,101,5202,3,1,20,0,20.261,,,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,baseline,igp,igp_default,igp_shortest,0,baseline_igp_seed42,0,igp,,r1,0,data/iperf_json_20260405_145112/mice_50.json,data/state_snapshots_20260405_145112/mice_50_start.json,data/state_snapshots_20260405_145112/mice_50_end.json
