timestamp,wall_time_epoch_ms,sample_id,experiment_id,elapsed_s,dt_s,state_read_ok,mode,traffic_profile,active_policy,policy_id,candidate_path_id,policy_seq,decision_id,reroute_event,cooldown_active,event,event_ts,cooldown_until,elephant_path_hint,elephant_flow_id,elephant_topk_rank,ingress_node,segment_list,controller_epoch_s,gain_mlu_pct,gain_rtt_ms,policy_seq_delta,policy_changed,decision_changed,path_changed,controller_lag_s
2026-04-06T12:12:56.107,1775448776107,31,exp_ml_run1,98.043,3.881,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:12:58.919,1775448778919,32,exp_ml_run1,100.855,2.812,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:13:01.756,1775448781756,33,exp_ml_run1,103.691,2.837,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:13:04.929,1775448784929,34,exp_ml_run1,106.864,3.173,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:13:08.237,1775448788237,35,exp_ml_run1,110.173,3.308,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:13:11.051,1775448791051,36,exp_ml_run1,112.987,2.814,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:13:14.349,1775448794349,37,exp_ml_run1,116.284,3.297,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:13:17.576,1775448797576,38,exp_ml_run1,119.511,3.227,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:13:20.311,1775448800311,39,exp_ml_run1,122.247,2.735,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:13:23.094,1775448803094,40,exp_ml_run1,125.03,2.783,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:13:26.199,1775448806199,41,exp_ml_run1,128.135,3.105,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:13:29.154,1775448809154,42,exp_ml_run1,131.089,2.955,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:13:32.051,1775448812051,43,exp_ml_run1,133.986,2.897,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:13:35.492,1775448815492,44,exp_ml_run1,137.428,3.441,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:13:38.721,1775448818721,45,exp_ml_run1,140.656,3.229,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
2026-04-06T12:13:41.607,1775448821607,46,exp_ml_run1,143.543,2.886,1,ml_dynamic,medium,srte_ml_dynamic,ml_policy_initial,upper_corridor,1,ml_bootstrap,0,0,bootstrap,,,r1-r2-r3-r4-r8,,,r1,,0,,,0,0,0,0,
