timestamp,wall_time_epoch_ms,sample_id,experiment_id,elapsed_s,dt_s,state_read_ok,mode,traffic_profile,active_policy,policy_id,candidate_path_id,policy_seq,decision_id,reroute_event,cooldown_active,event,event_ts,cooldown_until,elephant_path_hint,elephant_flow_id,elephant_topk_rank,ingress_node,segment_list,controller_epoch_s,gain_mlu_pct,gain_rtt_ms,policy_seq_delta,policy_changed,decision_changed,path_changed,controller_lag_s
2026-04-06T11:42:29.530,1775446949530,42,exp_static_run1,112.605,2.676,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:32.194,1775446952194,43,exp_static_run1,115.269,2.664,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:34.844,1775446954844,44,exp_static_run1,117.92,2.651,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:37.482,1775446957482,45,exp_static_run1,120.558,2.638,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:40.132,1775446960132,46,exp_static_run1,123.207,2.649,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:42.780,1775446962780,47,exp_static_run1,125.856,2.649,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:45.397,1775446965397,48,exp_static_run1,128.473,2.617,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:48.021,1775446968021,49,exp_static_run1,131.096,2.623,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:50.691,1775446970691,50,exp_static_run1,133.766,2.67,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:53.338,1775446973338,51,exp_static_run1,136.414,2.648,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:55.982,1775446975982,52,exp_static_run1,139.058,2.644,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:42:58.598,1775446978598,53,exp_static_run1,141.673,2.616,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:43:01.232,1775446981232,54,exp_static_run1,144.308,2.635,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:43:04.346,1775446984346,55,exp_static_run1,147.421,3.113,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:43:06.985,1775446986985,56,exp_static_run1,150.061,2.64,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:43:09.646,1775446989646,57,exp_static_run1,152.722,2.661,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:43:12.331,1775446992331,58,exp_static_run1,155.407,2.685,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:43:14.973,1775446994973,59,exp_static_run1,158.048,2.642,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:43:17.652,1775446997652,60,exp_static_run1,160.728,2.679,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:43:20.310,1775447000310,61,exp_static_run1,163.386,2.658,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:43:22.971,1775447002971,62,exp_static_run1,166.046,2.66,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:43:26.040,1775447006040,63,exp_static_run1,169.115,3.069,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:43:28.920,1775447008920,64,exp_static_run1,171.995,2.88,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:43:31.665,1775447011665,65,exp_static_run1,174.741,2.746,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:43:34.326,1775447014326,66,exp_static_run1,177.401,2.661,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:43:37.030,1775447017030,67,exp_static_run1,180.105,2.704,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:43:39.697,1775447019697,68,exp_static_run1,182.773,2.668,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
2026-04-06T11:43:42.307,1775447022307,69,exp_static_run1,185.382,2.609,1,static,medium,srte_static,static_policy_r1_h2_path_b,path_b,1,static_srte_seed42,0,0,none,,,r1-r2-r3-r6-r7-r8,,,r1,16002|16003|16006|16007|16008,0,,,0,0,0,0,
