feature,importance
ping_rtt_p99_ms__lag5,0.0003006065006556104
clab_srte4_r3__eth2__tx_mbps__rollstd5,0.00029183086097471966
network_mlu_pct__lag3,0.00028758337508428443
ping_rtt_max_ms__rollmean5,0.0002856193112190552
ping_rtt_p95_ms__rollmean10,0.00028119726973086293
ping_rtt_max_ms__lag3,0.0002804576267383929
network_mlu_pct__rollstd3,0.0002729536776924756
clab_srte4_r2__eth2__rx_mbps__rollmean3,0.00026976881280980263
clab_srte4_r4__eth1__util_pct__lag5,0.00022972807684698394
clab_srte4_r2__eth1__rx_mbps__lag5,0.00022582075198113755
ping_rtt_max_ms__rollstd3,0.00022051500464954053
clab_srte4_r2__eth1__util_pct__rollstd3,0.00021042085117893894
clab_srte4_r3__eth2__util_pct__rollmean5,0.00019740958830203947
clab_srte4_r2__eth1__rx_mbps__rollstd5,0.00019198180601346938
clab_srte4_r4__eth1__util_pct__lag3,0.00018759047520708862
ping_rtt_max_ms__rollmean10,0.00018418632645678638
clab_srte4_r1__eth2__util_pct__rollmean5,0.00018113620402332762
clab_srte4_r3__eth2__util_pct__lag5,0.00017599070731669867
ping_rtt_p95_ms__rollmean5,0.0001671746660128754
ping_rtt_p95_ms__lag1,0.00016335254804287022
network_mlu_pct__lag5,0.00015031293509921434
ping_rtt_p99_ms__rollmean3,0.00014558830076622176
clab_srte4_r3__eth1__rx_mbps__lag5,0.0001427341856064058
clab_srte4_r2__eth1__rx_mbps__rollmean5,0.00014214041197178702
ping_rtt_max_ms__rollmean3,0.00013934266743543768
clab_srte4_r4__eth2__rx_mbps__lag5,0.0001366812248004862
clab_srte4_r2__eth1__util_pct__rollmean3,0.0001331372811481828
clab_srte4_r3__eth2__tx_mbps__rollstd3,0.0001326526681858108
clab_srte4_r3__eth1__rx_mbps__rollmean5,0.00012778217037118754
clab_srte4_r1__eth2__tx_mbps__rollmean5,0.0001230015933581685
clab_srte4_r2__eth1__rx_mbps__lag3,0.00011971912920537287
clab_srte4_r2__eth1__rx_mbps__lag10,0.00011397097501028027
clab_srte4_r4__eth2__tx_mbps__lag3,0.00011172420776011178
ping_rtt_avg_ms__rollstd5,0.00010405355004946851
clab_srte4_r3__eth2__is_hot_link__rollmean10,0.00010311277084348548
clab_srte4_r2__eth2__tx_mbps__lag3,0.0001030146786944427
clab_srte4_r1__eth1__tx_mbps__lag3,8.865495739037681e-05
clab_srte4_r2__eth2__tx_mbps__rollstd5,7.225635812250028e-05
clab_srte4_r3__eth2__rx_mbps__lag3,6.941534327563428e-05
clab_srte4_r3__eth2__tx_mbps__lag5,6.11682309192372e-05
clab_srte4_r3__eth2__is_hot_link,6.113927588320345e-05
clab_srte4_r1__eth1__tx_mbps__rollstd10,6.0425674578118135e-05
clab_srte4_r1__eth2__rx_mbps__rollstd5,5.886799828832936e-05
clab_srte4_r4__eth1__rx_mbps__rollmean3,5.183893225293955e-05
clab_srte4_r1__eth2__rx_mbps__lag3,4.905349074677514e-05
clab_srte4_r3__eth1__tx_mbps__lag3,4.899050433243054e-05
clab_srte4_r3__eth2__is_hot_link__rollstd5,4.6516398786992686e-05
clab_srte4_r4__eth1__rx_mbps__lag3,4.593494471133185e-05
clab_srte4_r3__eth2__is_hot_link__rollstd10,3.999754719051474e-05
